"chrom","start","end","strand","gene.name"
"2",221418027,221574202,"-","EPHA4"
"2",222199888,222298996,"-","PAX3"
"2",222298147,222305217,"+","CCDC140"
"2",222424517,222560948,"+","SGPP2"
"2",222570536,222656337,"-","FARSB"
"2",222671786,222709930,"+","MOGAT1"
"2",222860934,222944639,"+","ACSL3"
"2",223051814,223198399,"+","KCNE4"
"2",223596940,223602503,"-","SCG2"
"2",223751686,223838027,"-","AP1S3"
"2",223855716,223945387,"-","WDFY1"
"2",223957404,223967714,"+","MRPL44"
"2",223975112,224039319,"-","SERPINE2"
"2",224378698,224402085,"-","FAM124B"
"2",224470150,224585397,"-","CUL3"
"2",224765090,225042445,"-","DOCK10"
"2",225399710,225654018,"+","NYAP2"
"2",226731317,226799759,"-","IRS1"
"2",226835581,226999215,"+","RHBDD1"
"2",227002711,227164453,"-","COL4A4"
"2",227164565,227314792,"+","COL4A3"
"2",227325151,227357836,"+","MFF"
"2",227362156,227381995,"-","TM4SF20"
"2",227472152,227561214,"+","AGFG1"
"2",227610090,227648606,"-","AC064853.3"
"2",227683763,227718031,"-","SLC19A3"
"2",227805739,227817564,"+","CCL20"
"2",227871054,227924344,"+","DAW1"
"2",227979950,228181645,"-","SPHKAP"
"2",228850526,229271285,"-","PID1"
"2",229357629,229714558,"-","DNER"
"2",229763838,229923239,"-","TRIP12"
"2",229922302,230013109,"+","FBXO36"
"2",230034974,230068999,"-","SLC16A14"
"2",230167293,230225729,"-","SP110"
"2",230203110,230313215,"+","SP140"
"2",230327184,230403732,"+","SP140L"
"2",230415942,230544090,"+","SP100"
"2",230712845,230821075,"+","CAB39"
"2",230864639,230879248,"+","ITM2C"
"2",230907318,230961066,"-","GPR55"
"2",230990324,231025055,"+","SPATA3"
"2",231037490,231049719,"+","C2orf72"
"2",231056864,231172827,"+","PSMD1"
"2",231108230,231125118,"-","HTR2B"
"2",231198546,231374837,"+","ARMC9"
"2",231395543,231401164,"+","B3GNT7"
"2",231453531,231483641,"-","NCL"
"2",231523160,231530495,"-","NMUR1"
"2",231592901,231594283,"+","TEX44"
"2",231706895,231713541,"+","PTMA"
"2",231732425,231786272,"-","PDE6D"
"2",231781671,231809254,"+","COPS7B"
"2",231921820,231926403,"-","NPPC"
"2",231961245,232344350,"+","DIS3L2"
"2",232378534,232382889,"+","ALPP"
"2",232406843,232410714,"+","ALPPL2"
"2",232456123,232460032,"+","ALPI"
"2",232479827,232487828,"-","ECEL1"
"2",232520463,232525716,"+","PRSS56"
"2",232525993,232536667,"+","CHRND"
"2",232539727,232546403,"+","CHRNG"
"2",232547968,232550592,"-","TIGD1"
"2",232550052,232583644,"+","EIF4E2"
"2",232606057,232682781,"+","EFHD1"
"2",232697299,232860575,"+","GIGYF2"
"2",232766464,232776568,"-","KCNJ13"
"2",232857270,232878708,"+","C2orf82"
"2",232878686,233013272,"-","NGEF"
"2",233032672,233035057,"+","NEU2"
"2",233059967,233207903,"+","INPP5D"
"2",233210051,233295674,"+","ATG16L1"
"2",233307816,233347055,"+","SAG"
"2",233354507,233472104,"+","DGKD"
"2",233475520,233566782,"-","USP40"
"2",233617645,233773310,"+","UGT1A8"
"2",233636454,233773305,"+","UGT1A10"
"2",233671853,233773300,"+","UGT1A9"
"2",233681938,233773299,"+","UGT1A7"
"2",233691607,233773300,"+","UGT1A6"
"2",233712992,233773299,"+","UGT1A5"
"2",233718778,233773299,"+","UGT1A4"
"2",233729108,233773299,"+","UGT1A3"
"2",233760248,233773299,"+","UGT1A1"
"2",233775679,233833423,"+","MROH2A"
"2",233833416,233854566,"-","HJURP"
"2",233917398,234019522,"+","TRPM8"
"2",234050679,234077134,"+","SPP2"
"2",234493041,234497053,"-","ARL4C"
"2",234951973,235055714,"+","SH3BP4"
"2",235494089,236131800,"+","AGAP1"
"2",236165236,236168369,"-","GBX2"
"2",236194872,236264409,"-","ASB18"
"2",236324147,236507542,"-","IQCA1"
"2",236567787,236582358,"+","ACKR3"
"2",237085312,237100466,"+","COPS8"
"2",237324003,237414375,"-","COL6A3"
"2",237485428,237555318,"+","MLPH"
"2",237566574,237567175,"+","PRLH"
"2",237574322,237601614,"-","RAB17"
"2",237627576,237813682,"+","LRRFIP1"
"2",237798389,237842808,"+","RBM44"
"2",237858893,237912114,"+","RAMP1"
"2",237966827,238042782,"+","UBE2F"
"2",238060889,238099413,"+","SCLY"
"2",238100157,238133287,"+","ESPNL"
"2",238138722,238152947,"+","KLHL30"
"2",238158982,238168900,"+","FAM132B"
"2",238170401,238203729,"-","ILKAP"
"2",238238267,238240662,"-","HES6"
"2",238244038,238290102,"-","PER2"
"2",238320441,238400900,"+","TRAF3IP1"
"2",238426742,238452250,"+","ASB1"
"2",238848032,238910543,"+","TWIST2"
"2",239048168,239401654,"-","HDAC4"
"2",239892450,240025402,"-","NDUFA10"
"2",240028965,240030456,"-","OR6B2"
"2",240045077,240047027,"-","OR6B3"
"2",240126563,240136807,"-","MYEOV2"
"2",240139026,240144562,"-","OTOS"
"2",240435671,240468078,"+","GPC1"
"2",240479422,240569209,"-","ANKMY1"
"2",240560054,240564014,"+","DUSP28"
"2",240586716,240617705,"+","CAPN10"
"2",240605431,240631259,"+","GPR35"
"2",240676418,240682906,"-","AQP12B"
"2",240713764,240820308,"-","KIF1A"
"2",240868479,240880502,"+","AGXT"
"2",240886048,240896889,"-","C2orf54"
"2",240998838,241095568,"+","SNED1"
"2",241072169,241102332,"-","MTERF4"
"2",241106099,241150264,"-","PASK"
"2",241149576,241183652,"+","PPP1R7"
"2",241188509,241225377,"+","ANO7"
"2",241227264,241317061,"-","HDLBP"
"2",241315100,241354027,"+","SEPT2"
"2",241356243,241494841,"+","FARP2"
"2",241492674,241509730,"-","STK25"
"2",241551424,241574138,"+","BOK"
"2",241584405,241637449,"-","THAP4"
"2",241637213,241673857,"+","ATG4B"
"2",241675742,241686991,"-","DTYMK"
"2",241687085,241729478,"+","ING5"
"2",241734579,241768816,"+","D2HGDH"
"2",241776825,241804208,"+","GAL3ST2"
"2",241808825,241817413,"+","NEU4"
"2",241849881,241858908,"-","PDCD1"
"2",241869600,241873823,"+","RTP5"
"3",196596,409417,"+","CHL1"
"3",1092576,1404217,"+","CNTN6"
"3",2098813,3057956,"+","CNTN4"
"3",3066326,3126613,"-","IL5RA"
"3",3126916,3150879,"+","TRNT1"
"3",3144628,3179727,"-","CRBN"
"3",3700814,4467281,"-","SUMF1"
"3",3799437,3847703,"+","LRRN1"
"3",4303304,4317567,"+","SETMAR"
"3",4493348,4847840,"+","ITPR1"
"3",4979116,4985323,"+","BHLHE40"
"3",5122220,5180912,"+","ARL8B"
"3",5187646,5219957,"+","EDEM1"
"3",6770001,7741533,"+","GRM7"
"3",8501707,8574673,"+","LMCD1"
"3",8619400,8745040,"-","SSUH2"
"3",8733800,8841808,"+","CAV3"
"3",8750408,8769628,"-","OXTR"
"3",8775402,8963773,"-","RAD18"
"3",8980591,9363053,"-","SRGAP3"
"3",9362842,9386791,"+","THUMPD3"
"3",9397615,9479240,"+","SETD5"
"3",9498361,9553802,"-","LHFPL4"
"3",9649433,9702393,"+","MTMR14"
"3",9703807,9729908,"+","CPNE9"
"3",9731729,9748018,"+","BRPF1"
"3",9749944,9788219,"+","OGG1"
"3",9757342,9769992,"-","CAMK1"
"3",9779860,9793011,"-","TADA3"
"3",9792495,9807726,"+","ARPC4"
"3",9793082,9835401,"+","ARPC4-TTLL3"
"3",9808086,9855138,"+","TTLL3"
"3",9837849,9844602,"-","RPUSD3"
"3",9866711,9880254,"-","CIDEC"
"3",9890554,9894349,"+","JAGN1"
"3",9902612,9916402,"+","IL17RE"
"3",9917074,9933630,"+","IL17RC"
"3",9933822,9945413,"+","CRELD1"
"3",9945542,9952394,"-","PRRT3"
"3",9962537,10011116,"-","EMC3"
"3",10026414,10101930,"+","FANCD2"
"3",10081317,10108231,"-","FANCD2OS"
"3",10115592,10127190,"+","BRK1"
"3",10141008,10152220,"+","VHL"
"3",10164865,10243743,"+","IRAK2"
"3",10248023,10281218,"+","TATDN2"
"3",10285675,10292947,"-","GHRL"
"3",10293131,10321178,"-","SEC13"
"3",10324023,10708007,"-","ATP2B2"
"3",10816200,10940733,"+","SLC6A11"
"3",10992186,11039249,"+","SLC6A1"
"3",11137093,11263557,"+","HRH1"
"3",11272309,11557665,"+","ATG7"
"3",11556070,11771350,"-","VGLL4"
"3",11790442,11846919,"-","TAMM41"
"3",12004402,12191400,"+","SYN2"
"3",12153051,12159351,"-","TIMP4"
"3",12287368,12434356,"+","PPARG"
"3",12484432,12539623,"+","TSEN2"
"3",12514934,12561059,"-","MKRN2OS"
"3",12557014,12583713,"+","MKRN2"
"3",12583601,12664226,"-","RAF1"
"3",12733525,12769457,"-","TMEM40"
"3",12796472,12871916,"+","CAND2"
"3",12834485,12841588,"-","RPL32"
"3",12897220,13073117,"-","IQSEC1"
"3",13316235,13420309,"-","NUP210"
"3",13479724,13506424,"+","HDAC11"
"3",13549131,13638422,"+","FBLN2"
"3",13816258,13880121,"-","WNT7A"
"3",14112077,14124870,"-","CHCHD4"
"3",14124940,14143679,"+","TMEM43"
"3",14145147,14178783,"-","XPC"
"3",14178358,14201119,"+","LSM3"
"3",14402576,14489349,"+","SLC6A6"
"3",14651746,14672659,"+","CCDC174"
"3",14675099,14773034,"+","C3orf20"
"3",14810853,14934565,"+","FGD5"
"3",14947584,15053600,"+","NR2C2"
"3",15042460,15065335,"-","MRPS25"
"3",15070073,15099163,"-","RBSN"
"3",15206152,15252918,"+","CAPN7"
"3",15254853,15341368,"-","SH3BP5"
"3",15381275,15440566,"-","METTL6"
"3",15427355,15450635,"+","EAF1"
"3",15450133,15521751,"-","COLQ"
"3",15560704,15601852,"-","HACL1"
"3",15601341,15647640,"+","BTD"
"3",15667236,15859771,"-","ANKRD28"
"3",16174649,16231992,"+","GALNT15"
"3",16257978,16264972,"-","DPH3"
"3",16265160,16350299,"+","OXNAD1"
"3",16313574,16514026,"-","RFTN1"
"3",16586792,16670306,"-","DAZL"
"3",16802651,17090594,"+","PLCL2"
"3",17157162,18444817,"-","TBC1D5"
"3",18345387,18445588,"-","SATB1"
"3",19148454,19535646,"+","KCNH8"
"3",19879472,19947025,"-","EFHB"
"3",19947079,19985175,"+","RAB5A"
"3",19979961,20012330,"-","PP2D1"
"3",20040023,20154404,"+","KAT2B"
"3",20160593,20186292,"-","SGO1"
"3",21412222,22373321,"-","ZNF385D"
"3",23203020,23591793,"+","UBE2E2"
"3",23805903,23891316,"+","UBE2E1"
"3",23891660,23946591,"-","NKIRAS1"
"3",23916545,23924374,"+","RPL15"
"3",23945260,23980618,"+","NR1D2"
"3",24117153,24495756,"-","THRB"
"3",25174332,25597932,"+","RARB"
"3",25597905,25664907,"-","TOP2B"
"3",25718944,25790039,"-","NGLY1"
"3",25782917,25794534,"+","OXSM"
"3",26622806,26710776,"+","LRRC3B"
"3",27110085,27369460,"-","NEK10"
"3",27372721,27484420,"-","SLC4A7"
"3",27715949,27722711,"-","EOMES"
"3",28241584,28325142,"+","CMC1"
"3",28315003,28349127,"-","AZI2"
"3",28349146,28538122,"+","ZCWPW2"
"3",28574791,30010391,"+","RBMS3"
"3",30606502,30694142,"+","TGFBR2"
"3",30726200,30894765,"-","GADL1"
"3",31532638,31637622,"+","STT3B"
"3",31657890,32077580,"-","OSBPL10"
"3",31981771,31991628,"+","ZNF860"
"3",32105689,32168713,"+","GPD1L"
"3",32238679,32370325,"+","CMTM8"
"3",32391671,32483067,"+","CMTM7"
"3",32481312,32503408,"-","CMTM6"
"3",32525971,32570874,"-","DYNC1LI1"
"3",32685145,32773875,"+","CNOT10"
"3",32818018,32897826,"+","TRIM71"
"3",32951574,32956349,"+","CCR4"
"3",32996608,33097230,"-","GLB1"
"3",33090421,33096801,"-","TMPPE"
"3",33113979,33147773,"+","CRTAP"
"3",33150042,33219215,"-","SUSD5"
"3",33277025,33403662,"+","FBXL2"
"3",33388336,33441371,"-","UBP1"
"3",33798352,33869707,"+","PDCD6IP"
"3",35638945,35794496,"+","ARPP21"
"3",36380344,36548007,"+","STAC"
"3",36712422,36764349,"-","DCLK3"
"3",36826820,36945098,"-","TRANK1"
"3",36985043,36993168,"-","EPM2AIP1"
"3",36993332,37050918,"+","MLH1"
"3",37052656,37183689,"-","LRRFIP2"
"3",37243177,37366751,"+","GOLGA4"
"3",37452115,37823514,"+","ITGA9"
"3",37861960,37984469,"+","CTDSPL"
"3",37988059,38007188,"+","VILL"
"3",38007496,38029762,"-","PLCD1"
"3",38039205,38124025,"+","DLEC1"
"3",38103129,38137242,"-","ACAA1"
"3",38138478,38143022,"+","MYD88"
"3",38165089,38255488,"+","OXSR1"
"3",38265812,38278315,"+","SLC22A13"
"3",38282294,38318575,"+","SLC22A14"
"3",38346760,38421348,"+","XYLB"
"3",38453851,38493142,"+","ACVR2B"
"3",38496127,38542161,"+","EXOG"
"3",38548057,38649673,"-","SCN5A"
"3",38696807,38816217,"-","SCN10A"
"3",38845769,38950561,"-","SCN11A"
"3",39051998,39096671,"+","WDR48"
"3",39096659,39108363,"-","GORASP1"
"3",39107704,39138903,"+","TTC21A"
"3",39141855,39154562,"-","CSRNP1"
"3",39183210,39192596,"-","XIRP1"
"3",39263494,39281735,"-","CX3CR1"
"3",39329706,39333511,"+","CCR8"
"3",39383324,39397351,"+","SLC25A38"
"3",39406689,39412542,"+","RPSA"
"3",39467198,39529479,"+","MOBP"
"3",39808914,40260321,"+","MYRIP"
"3",40309684,40312424,"+","EIF1B"
"3",40387156,40428619,"+","ENTPD3"
"3",40457292,40468587,"+","RPL14"
"3",40477113,40490236,"+","ZNF619"
"3",40505992,40518736,"+","ZNF620"
"3",40524878,40574685,"+","ZNF621"
"3",41194741,41260096,"+","CTNNB1"
"3",41246599,41962430,"-","ULK4"
"3",42013802,42225889,"+","TRAK1"
"3",42257825,42266207,"-","CCK"
"3",42397078,42410600,"-","LYZL4"
"3",42489299,42537573,"+","VIPR1"
"3",42547969,42601080,"-","SEC22C"
"3",42581840,42595114,"+","SS18L2"
"3",42600614,42648741,"+","NKTR"
"3",42653684,42665854,"+","ZBTB47"
"3",42685519,42692544,"+","KLHL40"
"3",42692663,42702827,"-","HHATL"
"3",42692663,42773253,"-","CCDC13"
"3",42784298,42804531,"-","HIGD1A"
"3",42804752,42887974,"+","ACKR2"
"3",42809483,42942792,"+","KRBOX1"
"3",42856005,42876165,"-","CYP8B1"
"3",42905731,42917641,"+","ZNF662"
"3",42979267,43060211,"+","FAM198A"
"3",43079232,43106076,"-","POMGNT2"
"3",43286512,43424764,"+","SNRK"
"3",43354859,43691594,"-","ANO10"
"3",43690108,43734371,"+","ABHD5"
"3",44241886,44332098,"+","TOPAZ1"
"3",44338119,44409451,"+","TCAIM"
"3",44431720,44477670,"-","ZNF445"
"3",44555193,44594173,"+","ZKSCAN7"
"3",44578223,44599694,"+","ZNF660"
"3",44584888,44648471,"+","ZNF197"
"3",44648727,44660791,"+","ZNF35"
"3",44712643,44723831,"+","ZNF502"
"3",44729596,44737083,"+","ZNF501"
"3",44737661,44761662,"-","KIAA1143"
"3",44761717,44873376,"+","KIF15"
"3",44861869,44865670,"+","TMEM42"
"3",44874608,44914990,"+","TGM4"
"3",44915257,44976185,"-","ZDHHC3"
"3",44975241,45036066,"+","EXOSC7"
"3",45001548,45036071,"+","CLEC3B"
"3",45082278,45146422,"-","CDCP1"
"3",45224466,45226278,"-","TMEM158"
"3",45388506,45549421,"+","LARS2"
"3",45555394,45686338,"+","LIMD1"
"3",45689056,45745424,"+","SACM1L"
"3",45755450,45796535,"-","SLC6A20"
"3",45823316,45916042,"-","LZTFL1"
"3",45886504,45903177,"+","CCR9"
"3",45917899,45995824,"-","FYCO1"
"3",45940933,45948353,"+","CXCR6"
"3",46017024,46027742,"-","XCR1"
"3",46163604,46266706,"+","CCR3"
"3",46201709,46208396,"-","CCR1"
"3",46353734,46360928,"+","CCR2"
"3",46370854,46376206,"+","CCR5"
"3",46407163,46412997,"+","CCRL2"
"3",46435645,46485234,"-","LTF"
"3",46497491,46500949,"+","RTP3"
"3",46515423,46580099,"-","LRRC2"
"3",46574534,46582463,"+","TDGF1"
"3",46612435,46626543,"+","RP11-509I21.2"
"3",46668997,46693704,"-","ALS2CL"
"3",46694528,46710886,"+","TMIE"
"3",46712115,46717907,"-","PRSS50"
"3",46712115,46812574,"-","RP11-316F12.1"
"3",46742092,46744755,"-","PRSS45"
"3",46829542,46834095,"-","PRSS42"
"3",46857872,46882169,"-","MYL3"
"3",46877746,46903799,"+","PTH1R"
"3",46921726,46982010,"-","CCDC12"
"3",46979683,47009703,"+","NBEAL2"
"3",47016429,47163967,"-","SETD2"
"3",47228026,47283451,"-","KIF9"
"3",47282917,47346816,"+","KLHL18"
"3",47381011,47413441,"+","PTPN23"
"3",47413694,47477126,"-","SCAP"
"3",47495640,47513761,"-","ELP6"
"3",47562239,47580792,"-","CSPG5"
"3",47585272,47782106,"-","SMARCC1"
"3",47802909,47850195,"+","DHX30"
"3",47850690,48089272,"-","MAP4"
"3",48157146,48188402,"-","CDC25A"
"3",48223347,48225491,"+","CAMP"
"3",48241100,48299253,"+","ZNF589"
"3",48290722,48301685,"-","NME6"
"3",48306842,48328341,"-","SPINK8"
"3",48372219,48401259,"+","FBXW12"
"3",48403854,48430051,"-","PLXNB1"
"3",48432164,48440456,"-","CCDC51"
"3",48440257,48444208,"+","TMA7"
"3",48446710,48467645,"+","ATRIP"
"3",48465811,48467645,"+","TREX1"
"3",48467798,48504826,"-","SHISA5"
"3",48517684,48562015,"-","PFKFB4"
"3",48561727,48563773,"-","UCN2"
"3",48564073,48595267,"-","COL7A1"
"3",48599002,48610976,"-","UQCRC1"
"3",48620759,48621855,"-","TMEM89"
"3",48625723,48635493,"-","SLC26A6"
"3",48636469,48662915,"-","CELSR3"
"3",48673844,48686364,"-","NCKIPSD"
"3",48688003,48740353,"-","IP6K2"
"3",48744597,48847846,"-","PRKAR2A"
"3",48856931,48898993,"-","SLC25A20"
"3",48917788,48919385,"-","ARIH2OS"
"3",48918821,48986382,"+","ARIH2"
"3",48989886,49007154,"+","P4HTM"
"3",49007062,49015953,"+","WDR6"
"3",49015488,49022293,"-","DALRD3"
"3",49020459,49023495,"+","NDUFAF3"
"3",49024325,49029408,"-","IMPDH2"
"3",49029707,49094363,"-","QRICH1"
"3",49095932,49105135,"-","QARS"
"3",49108046,49120938,"-","USP19"
"3",49121114,49133118,"-","LAMB2"
"3",49162535,49166321,"-","CCDC71"
"3",49171611,49176486,"+","KLHDC8B"
"3",49177632,49191858,"-","C3orf84"
"3",49198428,49258104,"+","CCDC36"
"3",49268602,49277909,"-","C3orf62"
"3",49277831,49340712,"-","USP4"
"3",49357171,49358600,"-","GPX1"
"3",49359145,49412998,"-","RHOA"
"3",49412206,49416475,"+","TCTA"
"3",49416775,49422753,"-","AMT"
"3",49416777,49429314,"-","RP11-949J7.8"
"3",49422946,49429326,"-","NICN1"
"3",49468703,49535618,"+","DAG1"
"3",49554489,49671545,"+","BSN"
"3",49674002,49683963,"+","APEH"
"3",49683947,49689501,"-","MST1"
"3",49689499,49721529,"+","RNF123"
"3",49716834,49719695,"-","AMIGO3"
"3",49716844,49723951,"-","GMPPB"
"3",49724294,49786542,"-","IP6K1"
"3",49790732,49799835,"-","CDHR4"
"3",49803254,49805030,"+","FAM212A"
"3",49805207,49813946,"-","UBA7"
"3",49828599,49856574,"-","TRAIP"
"3",49857988,49870222,"-","CAMKV"
"3",49887002,49903873,"-","MST1R"
"3",49907160,49930173,"-","MON1A"
"3",49940007,50100045,"+","RBM6"
"3",50088908,50119021,"+","RBM5"
"3",50155045,50189075,"+","SEMA3F"
"3",50191612,50196516,"+","GNAT1"
"3",50205246,50221486,"+","SLC38A3"
"3",50226292,50259355,"+","GNAI2"
"3",50267558,50277546,"+","SEMA3B"
"3",50279027,50288114,"+","LSMEM2"
"3",50287732,50292918,"-","IFRD2"
"3",50292831,50299468,"-","HYAL3"
"3",50296402,50299421,"-","NAT6"
"3",50299889,50312381,"-","HYAL1"
"3",50317790,50322906,"-","HYAL2"
"3",50320027,50328251,"-","TUSC2"
"3",50329782,50340980,"-","RASSF1"
"3",50341110,50346852,"-","ZMYND10"
"3",50347330,50351091,"-","NPRL2"
"3",50350695,50358460,"+","CYB561D2"
"3",50354749,50359610,"-","TMEM115"
"3",50362799,50504244,"-","CACNA2D2"
"3",50558025,50571027,"-","C3orf18"
"3",50569152,50596168,"+","HEMK1"
"3",50606490,50611831,"-","CISH"
"3",50611520,50649297,"+","MAPKAPK3"
"3",50675241,51384198,"+","DOCK3"
"3",51385047,51389397,"+","MANF"
"3",51391268,51397908,"+","RBM15B"
"3",51395867,51500002,"-","VPRBP"
"3",51541144,51668667,"+","RAD54L2"
"3",51662693,51704323,"+","TEX264"
"3",51707070,51718613,"+","GRM2"
"3",51778561,51779241,"-","IQCF6"
"3",51817604,51830856,"+","IQCF3"
"3",51861629,51863424,"+","IQCF2"
"3",51873721,51875584,"-","IQCF5"
"3",51894876,51903335,"-","IQCF1"
"3",51933430,51941941,"-","RRP9"
"3",51942345,51948867,"+","PARP3"
"3",51955314,51957504,"+","GPR62"
"3",51957454,51974016,"-","PCBP4"
"3",51968510,51983409,"-","ABHD14B"
"3",51971426,51981199,"+","ABHD14A"
"3",51983278,51989202,"+","ACY1"
"3",51993600,51995942,"-","RPL29"
"3",52048919,52056550,"-","DUSP7"
"3",52075253,52154690,"-","POC1A"
"3",52198086,52214327,"+","ALAS1"
"3",52221080,52226163,"-","TLR9"
"3",52228610,52239260,"-","TWF2"
"3",52245793,52250597,"+","PPM1M"
"3",52254421,52288020,"-","WDR82"
"3",52287089,52293476,"+","GLYCTK"
"3",52316319,52400491,"+","DNAH1"
"3",52401013,52410350,"-","BAP1"
"3",52410657,52423641,"+","PHF7"
"3",52433053,52445085,"-","SEMA3G"
"3",52451102,52454070,"-","TNNC1"
"3",52455118,52493071,"+","NISCH"
"3",52495338,52524495,"+","STAB1"
"3",52524385,52535054,"-","NT5DC2"
"3",52534013,52579237,"+","SMIM4"
"3",52545352,52685917,"-","PBRM1"
"3",52681156,52694492,"+","GNL3"
"3",52694488,52706032,"-","GLT8D1"
"3",52704955,52711146,"+","SPCS1"
"3",52708449,52770949,"-","NEK4"
"3",52777592,52792068,"+","ITIH1"
"3",52794768,52809009,"+","ITIH3"
"3",52812975,52831479,"-","ITIH4"
"3",52833114,52835219,"-","MUSTN1"
"3",52833121,52897562,"-","TMEM110-MUSTN1"
"3",52836219,52897596,"-","TMEM110"
"3",52903572,53046750,"-","SFMBT1"
"3",53088483,53130462,"-","RFT1"
"3",53156009,53192717,"+","PRKCD"
"3",53224707,53256052,"-","TKT"
"3",53283428,53347610,"-","DCP1A"
"3",53328963,53813733,"+","CACNA1D"
"3",53812335,53846390,"-","CHDH"
"3",53846580,53865800,"+","IL17RB"
"3",53867066,53882202,"-","ACTR8"
"3",53884410,53891988,"-","RP11-884K10.5"
"3",54122547,55074557,"+","CACNA2D3"
"3",54918237,54967088,"-","LRTM1"
"3",55465715,55490539,"-","WNT5A"
"3",55508308,56468363,"-","ERC2"
"3",56557161,56621818,"+","CCDC66"
"3",56620133,56683237,"-","FAM208A"
"3",56727418,57079329,"-","ARHGEF3"
"3",57060441,57075432,"+","SPATA12"
"3",57089982,57170306,"-","IL17RD"
"3",57197843,57226521,"-","HESX1"
"3",57227737,57273468,"+","APPL1"
"3",57268347,57292682,"-","ASB14"
"3",57293699,57544344,"-","DNAH12"
"3",57556276,57566844,"+","PDE12"
"3",57571363,57598220,"-","ARF4"
"3",57625457,57693089,"-","DENND6A"
"3",57755450,57929168,"+","SLMAP"
"3",58008400,58172251,"+","FLNB"
"3",58192257,58214697,"-","DNASE1L3"
"3",58237506,58295693,"+","ABHD6"
"3",58306247,58324695,"+","RPP14"
"3",58332880,58426126,"+","PXK"
"3",58427630,58433857,"-","PDHB"
"3",58492114,58502360,"+","KCTD6"
"3",58505136,58537319,"-","ACOX2"
"3",58564117,58627610,"-","FAM107A"
"3",58633946,58666848,"-","FAM3D"
"3",58717365,59050084,"-","C3orf67"
"3",59749310,61251459,"-","FHIT"
"3",61561569,62297613,"+","PTPRG"
"3",62318973,62336213,"+","C3orf14"
"3",62369681,62374324,"-","FEZF2"
"3",62398346,62875389,"-","CADPS"
"3",63228315,63616921,"+","SYNPR"
"3",63652668,63679020,"+","SNTN"
"3",63833870,63863903,"-","THOC7"
"3",63864557,64003462,"+","RP11-245J9.9"
"3",63898399,64003453,"+","ATXN7"
"3",64010549,64024010,"-","PSMD6"
"3",64092242,64445476,"-","PRICKLE2"
"3",64515654,64688000,"-","ADAMTS9"
"3",65353525,66038834,"-","MAGI1"
"3",66133610,66388116,"+","SLC25A26"
"3",66378797,66501263,"-","LRIG1"
"3",66998307,67011210,"+","KBTBD8"
"3",67360460,67654614,"-","SUCLG2"
"3",68004216,68545625,"+","FAM19A1"
"3",68731766,68953297,"-","FAM19A4"
"3",68975214,69013961,"-","EOGT"
"3",69019827,69052339,"-","TMF1"
"3",69054730,69080408,"-","UBA3"
"3",69084944,69106066,"+","ARL6IP5"
"3",69106872,69123032,"-","LMOD3"
"3",69169990,69542583,"-","FRMD4B"
"3",69739435,69968337,"+","MITF"
"3",70952817,71583993,"-","FOXP1"
"3",71675416,71754773,"-","EIF4E3"
"3",71754050,71756496,"+","GPR27"
"3",71771656,71785206,"-","PROK2"
"3",72749277,72861914,"-","SHQ1"
"3",72888073,72998138,"+","GXYLT2"
"3",72996785,73069199,"+","PPP4R2"
"3",73061659,73063337,"+","EBLN2"
"3",73382433,73624940,"-","PDZRN3"
"3",74262568,74521140,"-","CNTN3"
"3",75664330,75667220,"+","FRG2C"
"3",75709643,75785583,"-","ZNF717"
"3",75906695,77649964,"+","ROBO2"
"3",78597240,79767815,"-","ROBO1"
"3",81489699,81762161,"-","GBE1"
"3",84958981,86074429,"+","CADM2"
"3",86876388,86991119,"-","VGLL3"
"3",87227271,87255548,"+","CHMP2B"
"3",87259404,87276587,"-","POU1F1"
"3",87990696,87993835,"+","HTR1F"
"3",88051944,88149885,"-","CGGBP1"
"3",88149743,88168729,"+","C3orf38"
"3",89107524,89482134,"+","EPHA3"
"3",93873033,93974066,"-","PROS1"
"3",93980139,94055668,"+","ARL13B"
"3",94014369,94028610,"-","STX19"
"3",94047836,94063389,"-","DHFRL1"
"3",94062916,94128545,"+","NSUN3"
"3",96814581,97752460,"+","EPHA6"
"3",97764521,97801242,"+","ARL6"
"3",97941818,97972457,"-","RIOX2"
"3",97986673,98035304,"-","GABRR3"
"3",98087173,98088102,"+","OR5AC2"
"3",98130721,98138548,"+","OR5H1"
"3",98147479,98156614,"+","OR5H14"
"3",98166696,98169774,"+","OR5H15"
"3",98263252,98265356,"+","OR5H6"
"3",98282888,98283832,"+","OR5H2"
"3",98353854,98354819,"+","OR5K4"
"3",98390666,98391631,"+","OR5K3"
"3",98463201,98472924,"+","OR5K1"
"3",98497604,98498663,"+","OR5K2"
"3",98497912,98523066,"-","CLDND1"
"3",98521132,98593723,"-","CPOX"
"3",98531899,98533150,"+","GPR15"
"3",98732236,98821201,"+","ST3GAL6"
"3",98795941,98901689,"-","DCBLD2"
"3",99638475,99799226,"+","COL8A1"
"3",99817834,100181732,"+","CMSS1"
"3",99830141,100114513,"-","FILIP1L"
"3",100261000,100325251,"+","TBC1D23"
"3",100334701,100361635,"+","NIT2"
"3",100363431,100401398,"-","TOMM70"
"3",100401193,100456319,"+","LNP1"
"3",100492619,100577444,"+","TMEM45A"
"3",100609589,100695479,"+","ADGRG7"
"3",100709331,100748966,"+","TFG"
"3",100749156,100993515,"-","ABI3BP"
"3",101222546,101320560,"-","IMPG2"
